rpg_code,crop_name_fr,crop_family,rpg_chapter_num,rpg_chapter_name,surface_category
AVH,Avoine d’hiver,cereal,1.1,CÉRÉALES ET PSEUDO-CÉRÉALES,TA
AVP,Avoine de printemps,cereal,1.1,CÉRÉALES ET PSEUDO-CÉRÉALES,TA
BDH,Blé dur d’hiver,cereal,1.1,CÉRÉALES ET PSEUDO-CÉRÉALES,TA
BDP,Blé dur de printemps,cereal,1.1,CÉRÉALES ET PSEUDO-CÉRÉALES,TA
BTH,Blé tendre d’hiver,cereal,1.1,CÉRÉALES ET PSEUDO-CÉRÉALES,TA
BTP,Blé tendre de printemps,cereal,1.1,CÉRÉALES ET PSEUDO-CÉRÉALES,TA
EPE,Épeautre (petit épeautre ou engrain et grand épeautre),cereal,1.1,CÉRÉALES ET PSEUDO-CÉRÉALES,TA
MIS,Maïs (hors maïs doux),cereal,1.1,CÉRÉALES ET PSEUDO-CÉRÉALES,TA
MID,Maïs doux,cereal,1.1,CÉRÉALES ET PSEUDO-CÉRÉALES,TA
MLT,Millet,cereal,1.1,CÉRÉALES ET PSEUDO-CÉRÉALES,TA
MOH,Moha,cereal,1.1,CÉRÉALES ET PSEUDO-CÉRÉALES,TA
ORH,Orge d’hiver,cereal,1.1,CÉRÉALES ET PSEUDO-CÉRÉALES,TA
ORP,Orge de printemps,cereal,1.1,CÉRÉALES ET PSEUDO-CÉRÉALES,TA
RIZ,Riz,cereal,1.1,CÉRÉALES ET PSEUDO-CÉRÉALES,TA
SRS,Sarrasin,cereal,1.1,CÉRÉALES ET PSEUDO-CÉRÉALES,TA
SGH,Seigle d’hiver,cereal,1.1,CÉRÉALES ET PSEUDO-CÉRÉALES,TA
SGP,Seigle de printemps,cereal,1.1,CÉRÉALES ET PSEUDO-CÉRÉALES,TA
SOG,Sorgho,cereal,1.1,CÉRÉALES ET PSEUDO-CÉRÉALES,TA
TTH,Triticale d’hiver,cereal,1.1,CÉRÉALES ET PSEUDO-CÉRÉALES,TA
TTP,Triticale de printemps,cereal,1.1,CÉRÉALES ET PSEUDO-CÉRÉALES,TA
CAG,"Autre céréale ou pseudo-céréale secondaire de printemps (alpiste, quinoa, chia,...)",cereal,1.1,CÉRÉALES ET PSEUDO-CÉRÉALES,TA
CAH,Autre céréale ou pseudo-céréale secondaire d’hiver,cereal,1.1,CÉRÉALES ET PSEUDO-CÉRÉALES,TA
MCS,Mélange de céréales ou pseudo-céréales de printemps entre elles,cereal,1.1,CÉRÉALES ET PSEUDO-CÉRÉALES,TA
MCR,Mélange de céréales ou pseudo-céréales d’hiver entre elles,cereal,1.1,CÉRÉALES ET PSEUDO-CÉRÉALES,TA
CML,Cameline,oilseed,1.2,OLÉAGINEUX,TA
CZH,Colza d’hiver,oilseed,1.2,OLÉAGINEUX,TA
CZP,Colza de printemps,oilseed,1.2,OLÉAGINEUX,TA
LIH,Lin non textile d’hiver,oilseed,1.2,OLÉAGINEUX,TA
LIP,Lin non textile de printemps,oilseed,1.2,OLÉAGINEUX,TA
MOT,Moutarde d’hiver,oilseed,1.2,OLÉAGINEUX,TA
OEI,Œillette (pavot),oilseed,1.2,OLÉAGINEUX,TA
TRN,Tournesol,oilseed,1.2,OLÉAGINEUX,TA
OAG,"Autres oléagineux ou mélange d’oléagineux de printemps et d’été (dont moutarde ou navette d’été, sésame et nyger)",oilseed,1.2,OLÉAGINEUX,TA
OHR,Autres oléagineux ou mélange d’oléagineux d’hiver (dont navette d’hiver),oilseed,1.2,OLÉAGINEUX,TA
ARA,Arachide,legume,1.3,"LÉGUMINEUSES A GRAINES ET FOURRAGÈRES, Y COMPRIS MÉLANGES DE LÉGUMINEUSES PURES ET LÉGUMINEUSES CONSOMMÉES EN FRAIS DANS L’ALIMENTATION HUMAINE",TA
FEV,Fève,legume,1.3,"LÉGUMINEUSES A GRAINES ET FOURRAGÈRES, Y COMPRIS MÉLANGES DE LÉGUMINEUSES PURES ET LÉGUMINEUSES CONSOMMÉES EN FRAIS DANS L’ALIMENTATION HUMAINE",TA
FNU,Fenugrec,legume,1.3,"LÉGUMINEUSES A GRAINES ET FOURRAGÈRES, Y COMPRIS MÉLANGES DE LÉGUMINEUSES PURES ET LÉGUMINEUSES CONSOMMÉES EN FRAIS DANS L’ALIMENTATION HUMAINE",TA
FVL,Féverole d’hiver,legume,1.3,"LÉGUMINEUSES A GRAINES ET FOURRAGÈRES, Y COMPRIS MÉLANGES DE LÉGUMINEUSES PURES ET LÉGUMINEUSES CONSOMMÉES EN FRAIS DANS L’ALIMENTATION HUMAINE",TA
FVP,Féverole de printemps,legume,1.3,"LÉGUMINEUSES A GRAINES ET FOURRAGÈRES, Y COMPRIS MÉLANGES DE LÉGUMINEUSES PURES ET LÉGUMINEUSES CONSOMMÉES EN FRAIS DANS L’ALIMENTATION HUMAINE",TA
GES,"Cornille, dolique (y/c lablab), gesse",legume,1.3,"LÉGUMINEUSES A GRAINES ET FOURRAGÈRES, Y COMPRIS MÉLANGES DE LÉGUMINEUSES PURES ET LÉGUMINEUSES CONSOMMÉES EN FRAIS DANS L’ALIMENTATION HUMAINE",TA
LEC,Lentille,legume,1.3,"LÉGUMINEUSES A GRAINES ET FOURRAGÈRES, Y COMPRIS MÉLANGES DE LÉGUMINEUSES PURES ET LÉGUMINEUSES CONSOMMÉES EN FRAIS DANS L’ALIMENTATION HUMAINE",TA
LDH,Lupin doux d’hiver,legume,1.3,"LÉGUMINEUSES A GRAINES ET FOURRAGÈRES, Y COMPRIS MÉLANGES DE LÉGUMINEUSES PURES ET LÉGUMINEUSES CONSOMMÉES EN FRAIS DANS L’ALIMENTATION HUMAINE",TA
LDP,Lupin doux de printemps,legume,1.3,"LÉGUMINEUSES A GRAINES ET FOURRAGÈRES, Y COMPRIS MÉLANGES DE LÉGUMINEUSES PURES ET LÉGUMINEUSES CONSOMMÉES EN FRAIS DANS L’ALIMENTATION HUMAINE",TA
LOT,"Lotier, minette",legume,1.3,"LÉGUMINEUSES A GRAINES ET FOURRAGÈRES, Y COMPRIS MÉLANGES DE LÉGUMINEUSES PURES ET LÉGUMINEUSES CONSOMMÉES EN FRAIS DANS L’ALIMENTATION HUMAINE",TA
PCH,Pois chiche,legume,1.3,"LÉGUMINEUSES A GRAINES ET FOURRAGÈRES, Y COMPRIS MÉLANGES DE LÉGUMINEUSES PURES ET LÉGUMINEUSES CONSOMMÉES EN FRAIS DANS L’ALIMENTATION HUMAINE",TA
PHI,Pois protéagineux d’hiver (alimentation animale),legume,1.3,"LÉGUMINEUSES A GRAINES ET FOURRAGÈRES, Y COMPRIS MÉLANGES DE LÉGUMINEUSES PURES ET LÉGUMINEUSES CONSOMMÉES EN FRAIS DANS L’ALIMENTATION HUMAINE",TA
PPR,Pois protéagineux de printemps (alimentation animale),legume,1.3,"LÉGUMINEUSES A GRAINES ET FOURRAGÈRES, Y COMPRIS MÉLANGES DE LÉGUMINEUSES PURES ET LÉGUMINEUSES CONSOMMÉES EN FRAIS DANS L’ALIMENTATION HUMAINE",TA
PHS,Pois et haricot secs (alimentation humaine),legume,1.3,"LÉGUMINEUSES A GRAINES ET FOURRAGÈRES, Y COMPRIS MÉLANGES DE LÉGUMINEUSES PURES ET LÉGUMINEUSES CONSOMMÉES EN FRAIS DANS L’ALIMENTATION HUMAINE",TA
PHF,Pois et haricot frais (alimentation humaine),legume,1.3,"LÉGUMINEUSES A GRAINES ET FOURRAGÈRES, Y COMPRIS MÉLANGES DE LÉGUMINEUSES PURES ET LÉGUMINEUSES CONSOMMÉES EN FRAIS DANS L’ALIMENTATION HUMAINE",TA
LUZ,Luzerne,legume,1.3,"LÉGUMINEUSES A GRAINES ET FOURRAGÈRES, Y COMPRIS MÉLANGES DE LÉGUMINEUSES PURES ET LÉGUMINEUSES CONSOMMÉES EN FRAIS DANS L’ALIMENTATION HUMAINE",TA
SAI,Sainfoin,legume,1.3,"LÉGUMINEUSES A GRAINES ET FOURRAGÈRES, Y COMPRIS MÉLANGES DE LÉGUMINEUSES PURES ET LÉGUMINEUSES CONSOMMÉES EN FRAIS DANS L’ALIMENTATION HUMAINE",TA
SOJ,Soja,legume,1.3,"LÉGUMINEUSES A GRAINES ET FOURRAGÈRES, Y COMPRIS MÉLANGES DE LÉGUMINEUSES PURES ET LÉGUMINEUSES CONSOMMÉES EN FRAIS DANS L’ALIMENTATION HUMAINE",TA
TRE,Trèfle,legume,1.3,"LÉGUMINEUSES A GRAINES ET FOURRAGÈRES, Y COMPRIS MÉLANGES DE LÉGUMINEUSES PURES ET LÉGUMINEUSES CONSOMMÉES EN FRAIS DANS L’ALIMENTATION HUMAINE",TA
VES,"Vesce, mélilot, jarosse, serradelle",legume,1.3,"LÉGUMINEUSES A GRAINES ET FOURRAGÈRES, Y COMPRIS MÉLANGES DE LÉGUMINEUSES PURES ET LÉGUMINEUSES CONSOMMÉES EN FRAIS DANS L’ALIMENTATION HUMAINE",TA
PAG,Autre légumineuse à graines ou fourragères,legume,1.3,"LÉGUMINEUSES A GRAINES ET FOURRAGÈRES, Y COMPRIS MÉLANGES DE LÉGUMINEUSES PURES ET LÉGUMINEUSES CONSOMMÉES EN FRAIS DANS L’ALIMENTATION HUMAINE",TA
MLF,Mélange de légumineuses à graines ou fourragères pures,legume,1.3,"LÉGUMINEUSES A GRAINES ET FOURRAGÈRES, Y COMPRIS MÉLANGES DE LÉGUMINEUSES PURES ET LÉGUMINEUSES CONSOMMÉES EN FRAIS DANS L’ALIMENTATION HUMAINE",TA
MPC,Mélange multi-espèces avec légumineuses à graines prépondérantes sans graminées prairiales,mixed_multispecies,1.4,"CULTURES ASSOCIÉES : MÉLANGE MULTI-ESPECES SANS GRAMINÉES PRAIRIALES, CULTURES INTER-RANGS ET AUTRES PRODUCTIONS ASSOCIÉES",TA
MLC,Mélange multi-espèces avec légumineuses fourragères prépondérantes sans graminées prairiales,mixed_multispecies,1.4,"CULTURES ASSOCIÉES : MÉLANGE MULTI-ESPECES SANS GRAMINÉES PRAIRIALES, CULTURES INTER-RANGS ET AUTRES PRODUCTIONS ASSOCIÉES",TA
CPL,"Mélange multi-espèces (céréales, oléagineux, légumineuses,...) sans graminées prairiales et sans prédominance de légumineuses",mixed_multispecies,1.4,"CULTURES ASSOCIÉES : MÉLANGE MULTI-ESPECES SANS GRAMINÉES PRAIRIALES, CULTURES INTER-RANGS ET AUTRES PRODUCTIONS ASSOCIÉES",TA
CID,Cultures conduites en inter-rangs (bandes de cultures différentes) – 2 cultures représentant chacune plus de 25 %,mixed_multispecies,1.4,"CULTURES ASSOCIÉES : MÉLANGE MULTI-ESPECES SANS GRAMINÉES PRAIRIALES, CULTURES INTER-RANGS ET AUTRES PRODUCTIONS ASSOCIÉES",TA/CP/PP
CIT,Cultures conduites en inter-rangs (bandes de cultures différentes) – 3 cultures représentant chacune plus de 25 %,mixed_multispecies,1.4,"CULTURES ASSOCIÉES : MÉLANGE MULTI-ESPECES SANS GRAMINÉES PRAIRIALES, CULTURES INTER-RANGS ET AUTRES PRODUCTIONS ASSOCIÉES",TA/CP/PP
MDI,Maraîchage diversifié (plusieurs espèces de fruits et légumes majoritairement non pérennes),mixed_multispecies,1.4,"CULTURES ASSOCIÉES : MÉLANGE MULTI-ESPECES SANS GRAMINÉES PRAIRIALES, CULTURES INTER-RANGS ET AUTRES PRODUCTIONS ASSOCIÉES",TA
SHD,Surfaces hautement diversifiées (DOM),mixed_multispecies,1.4,"CULTURES ASSOCIÉES : MÉLANGE MULTI-ESPECES SANS GRAMINÉES PRAIRIALES, CULTURES INTER-RANGS ET AUTRES PRODUCTIONS ASSOCIÉES",CP
